GP Practice,GP Practice No,Question Number,"Questionnaire 
Section",Question Text,Number of Responses,% Positive,% Neutral,% Negative
Ashton Medical Practice - Glasgow (40718),40718,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,123,79.15,0,20.85
Assynt Medical Practice - Sutherland (55253),55253,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,125,99.01,0,0.99
Atholl Medical Centre - Perthshire (14501),14501,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,148,83.71,0,16.29
Atlas Medical Practice - Glasgow (43097),43097,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,120,87.01,0,12.99
Atrium Medical Practice - Coatbridge (61466),61466,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,116,58.18,0,41.82
Auchenblae Medical Centre - Auchenblae (32500),32500,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,94,81.88,0,18.12
Auchinairn Medical Practice - Glasgow (43222),43222,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,111,52.84,0,47.16
Auchinleck Surgery - Auchinleck (80772),80772,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,96,82.31,0,17.69
Auchinraith Medical Practice - Blantyre (63334),63334,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,117,85.39,0,14.61
Auchtermuchty Practice - Auchtermuchty (20057),20057,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,119,39.35,0,60.65
Aultbea & Gairloch Medical Practice - Aultbea (55357),55357,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,114,95.65,0,4.35
Aviemore Medical Practice - Aviemore (55911),55911,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,132,86.91,0,13.09
Avondale Medical Practice - Strathaven (63739),63739,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,137,62.05,0,37.95
Ayrshire Medical Group - Stevenston (81012),81012,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,161,49.94,0,50.06
Baker Street Surgery - Glasgow (49318),49318,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,122,97.85,0,2.15
Balfron Health Centre - Balfron (25051),25051,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,135,95.58,0,4.42
Ballachulish Medical Practice - Ballachulish (56025),56025,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,103,88.26,0,11.74
Ballantrae Medical Practice - Ballantrae (80132),80132,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,89,100,0,0
Ballater Clinic - Ballater (32317),32317,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,89,94.57,0,5.43
Ballochmyle Medical Group - Catrine (80749),80749,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,137,33.68,0,66.32
Balmore Surgery - Glasgow (43256),43256,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,98,86.51,0,13.49
Banchory Group Practice - Aberdeenshire (32406),32406,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,120,78.18,0,21.82
Bank Street Medical Group - Cupar (20413),20413,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,118,80.98,0,19.02
Bankfield Medical Practice - Ayr (80842),80842,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,100,85.17,0,14.83
Bankhouse Medical Practice - Airdrie (61151),61151,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,107,48.37,0,51.63
Barclay Medical Practice - Fauldhouse (78414),78414,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,121,85.33,0,14.67
Barclay Medical Practice - Livingston (78397),78397,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,125,39.22,0,60.78
Barclay Medical Practice East Craigs - Edinburgh (71434),71434,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,113,69.45,0,30.55
Barclay Medical Practice Victoria Park - Glasgow (40578),40578,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,123,92.38,0,7.62
Bargarran Medical Practice - Erskine (87733),87733,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,132,68.92,0,31.08
Barns Medical Practice - Ayr (80081),80081,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,156,97.96,0,2.04
Baronscourt Surgery - Edinburgh (70658),70658,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,111,67.11,0,32.89
Barra Medical Practice - Isle Of Barra (90149),90149,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,83,91.11,0,8.89
Beith Health Centre GP Practice - Beith (80147),80147,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,119,66.03,0,33.97
Bellyeoman Surgery - Dunfermline (20490),20490,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,114,77.32,0,22.68
Benarty Medical Practice - Fife (21421),21421,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,98,84.54,0,15.46
Benbecula Medical Practice - Isle Of Benbecula (90120),90120,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,109,98.65,0,1.35
Bennochy Medical Centre - Fife (20979),20979,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,107,73.76,0,26.24
Biggar Health Centre - Biggar (62312),62312,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,121,80.52,0,19.48
Bishopton Medical Practice - Bishopton (87112),87112,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,131,58.06,0,41.94
Bixter Health Centre - Shetland (39068),39068,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,90,100,0,0
Blackfriars Medical Practice - St Andrews (21825),21825,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,110,89.12,0,10.88
Blackhall Medical Centre - Edinburgh (70535),70535,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,103,90.5,0,9.5
Blackridge Health Centre - Blackridge (78185),78185,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,113,81.53,0,18.47
Blackwood Medical Practice (62628),62628,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,117,87.01,0,12.99
Bluewing Medical Practice - Clydebank (40262),40262,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,101,75.19,0,24.81
Bo'ness Road Medical Practice - Grangemouth (25332),25332,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,120,55.22,0,44.78
Bonnybank Medical Practice - Bonnybridge (25205),25205,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,103,63.78,0,36.22
Boroughloch Medical Practice - Edinburgh (71379),71379,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,105,90.5,0,9.5
Bothwell Medical Centre - Lanarkshire (63118),63118,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,126,43.8,0,56.2
Bourtreehill Medical Practice - Irvine (80306),80306,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,109,75.48,0,24.52
Bowmore Medical Practice - Isle of Islay (84331),84331,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,88,97.24,0,2.76
Brae Medical Practice - Shetland (39049),39049,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,105,98.74,0,1.26
"Braefoot Medical Practice - Conan Doyle Medical Centre, Edinburgh (70893)",70893,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,118,67.52,0,32.48
Braehead Medical Practice - Renfrew (87697),87697,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,118,84.52,0,15.48
Braemar Health Clinic - Braemar (32321),32321,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,118,100,0,0
Braeside Medical Practice - Galashiels (16230),16230,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,105,96.2,0,3.8
Braesview Medical Group - Polmont (25455),25455,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,123,67.25,0,32.75
Braidcraft Medical Centre - Glasgow (52043),52043,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,120,75.95,0,24.05
Braids Medical Practice - Edinburgh (70075),70075,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,115,91.97,0,8.03
Branchalwood Medical Practice - Wishaw (62967),62967,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,102,56.49,0,43.51
Brechin Medical Practice (10498),10498,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,117,63.4,0,36.6
Bridge Of Allan Health Centre - Bridge Of Allan (25101),25101,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,114,88.02,0,11.98
Bridgewater Medical Centre - Erskine (87235),87235,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,94,90.17,0,9.83
Broadbay Medical Practice - Stornoway (90172),90172,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,106,89.23,0,10.77
Broomburn Medical Centre - Glasgow (49464),49464,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,123,97.37,0,2.63
Broughty Family Healthcare - Dundee (11306),11306,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,107,54.54,0,45.46
Bruce Medical Centre - Bellshill (62031),62031,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,131,29.71,0,70.29
Brunton Place Surgery - Edinburgh (70268),70268,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,121,67.45,0,32.55
Bruntsfield Medical Practice - Edinburgh (70323),70323,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,138,82.06,0,17.94
Buckingham Terrace Medical Practice - Glasgow (40012),40012,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,113,65.89,0,34.11
Bucksburn Medical Practice - Bucksburn (30256),30256,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,98,74.64,0,25.36
Burnbank Medical Centre - Hamilton (63419),63419,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,136,55.68,0,44.32
Burnbrae Medical Practice - Shotts (62986),62986,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,146,54.6,0,45.4
Burnfield Medical Practice - Inverness (55889),55889,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,135,97.31,0,2.69
Burntisland Medical Group - Fife (20151),20151,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,137,78.02,0,21.98
Butterbiggins Medical Centre - Glasgow (49267),49267,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,119,38.49,0,61.51
Bydand Medical Group - Huntly (32092),32092,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,110,67.66,0,32.34
Cairn Medical Practice - Inverness (56006),56006,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,127,77.57,0,22.43
Cairn Valley Medical Practice - Dunscore (18343),18343,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,105,96.49,0,3.51
Cairnsmore Medical Practice - Newton Stewart (18151),18151,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,107,94.91,0,5.09
Calder Valley Surgery - Wishaw (63902),63902,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,98,59.8,0,40.2
Calderglen Medical Practice - East Kilbride (63298),63298,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,111,40.24,0,59.76
Calderlea Surgery - East Kilbride (63508),63508,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,136,55.99,0,44.01
Calderside Medical Practice - Blantyre (63033),63033,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,131,64.91,0,35.09
Caledonia Medical Practice - Cumbernauld (61339),61339,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,122,45.26,0,54.74
Callander Medical Practice - Callander (25121),25121,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,130,75.05,0,24.95
Calsayseat Medical Group - Aberdeen (30701),30701,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,105,68.25,0,31.75
"Calton Medical Practice - Bridgeton Health Centre, Glasgow (46611)",46611,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,87,67.66,0,32.34
Camelon Medical Practice - Falkirk (25313),25313,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,101,92.31,0,7.69
Campbeltown Medical Practice - Campbeltown (84030),84030,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,126,92.15,0,7.85
Camphill Medical Practice - Aberdeen (31333),31333,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,118,95.78,0,4.22
Canisbay & Castletown Joint Medical Practice - Castletown (55080),55080,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,98,95.35,0,4.65
Canonbie Surgery - Canonbie (18432),18432,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,110,90.28,0,9.72
Carbost Medical Practice - Skye And Lochalsh (55521),55521,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,112,98.98,0,1.02
Carden Medical Centre - Aberdeen (30985),30985,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,105,78.35,0,21.65
Carmondean Medical Group - Livingston (78010),78010,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,137,85.38,0,14.62
Carnoustie Medical Group - Carnoustie (10638),10638,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,115,68.1,0,31.9
Carntyne Medical Centre - Glasgow (46146),46146,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,106,81.46,0,18.54
Carolside Medical Centre - Glasgow (49623),49623,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,117,92,0,8
Carrick Medical Practice - Maybole (80467),80467,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,106,88.11,0,11.89
Carron Medical Centre - Falkirk (25652),25652,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,123,87.94,0,12.06
Carronbank Medical Practice - Denny (25188),25188,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,110,81.7,0,18.3
Castle Douglas Medical Group - Castle Douglas (18184),18184,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,119,88.94,0,11.06
Castlegait Surgery - Montrose (13660),13660,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,123,85.44,0,14.56
Castlemilk Group Practice - Glasgow (49751),49751,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,101,36.5,0,63.5
Centenary Surgery - Coatbridge (61216),61216,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,91,88.41,0,11.59
Central Avenue Surgery - Ardrossan (80010),80010,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,124,73.7,0,26.3
Central Buchan Medical Practice - New Pitsligo (31531),31531,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,103,58.94,0,41.06
Charlestown Surgery - Fife (21308),21308,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,121,83.31,0,16.69
Charlotte Medical Practice - Dumfries (18305),18305,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,100,83.81,0,16.19
Church Street Practice - Coatbridge (61485),61485,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,104,68.31,0,31.69
Church Street Surgery - Dunoon (84241),84241,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,140,81.56,0,18.44
Cill Chuimein Medical Centre - Fort Augustus (55732),55732,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,117,88.23,0,11.77
Clackmannan & Kincardine Medical Practice - Clackmannan (25135),25135,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,100,66.68,0,33.32
Clyde Practice - Motherwell (62690),62690,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,95,95.93,0,4.07
Clyde View Medical Practice - Wishaw (62671),62671,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,108,65.68,0,34.32
Clydeview Medical Practice - Renfrew (87700),87700,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,124,75.52,0,24.48
Coast Health - Fife (21736),21736,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,122,93.8,0,6.2
Coatbank Medical Practice - Coatbridge (61451),61451,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,91,30.4,0,69.6
Cochrane Medical Practice - Greenock (86374),86374,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,84,52.22,0,47.78
Coldside Medical Practice - Dundee (11166),11166,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,109,71.98,0,28.02
Coldstream Medical Practice - Coldstream (16206),16206,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,140,89.07,0,10.93
Colinton Surgery - Edinburgh (70131),70131,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,104,93.63,0,6.37
Comrie Medical Centre - Comrie (10708),10708,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,122,99.41,0,0.59
Condorrat Medical Practice - Cumbernauld (61324),61324,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,129,63.53,0,36.47
Cos Lane Surgery - Glenrothes (20659),20659,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,102,70.68,0,29.32
Coupar Angus Medical Centre (10746),10746,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,113,87.07,0,12.93
Cowal Medical Practice - Dunoon (84256),84256,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,123,70.81,0,29.19
Cowdenbeath Surgery - Cowdenbeath (20305),20305,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,104,34.89,0,65.11
Craig Nevis Surgery - Fort William (55605),55605,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,112,94.67,0,5.33
Craiglockhart Medical Group - Edinburgh (70610),70610,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,129,73.09,0,26.91
Craigmillar Medical Group - Edinburgh (70215),70215,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,93,78.19,0,21.81
Craigvinean Surgery - Dunkeld (13049),13049,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,102,97.84,0,2.16
Crail Medical Practice - Glasgow (46131),46131,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,105,67.84,0,32.16
Cramond Medical Practice - Edinburgh (71129),71129,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,133,65.5,0,34.5
Creich Surgery - Bonar Bridge (55291),55291,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,141,99.42,0,0.58
Crewe Medical Centre - Edinburgh (70573),70573,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,134,62.17,0,37.83
Crimond Medical Centre - Crimond (31601),31601,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,118,92.05,0,7.95
Croftfoot Surgery - Glasgow (49106),49106,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,92,86.07,0,13.93
Cromarty Medical Practice - Cromarty (56538),56538,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,147,98.54,0,1.46
Cromwell Harbour Medical Practice - Dunbar (76180),76180,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,104,86.47,0,13.53
Crookston Medical Practice - Glasgow (52344),52344,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,118,93.36,0,6.64
Crossgates Medical Practice - Fife (20358),20358,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,121,33.52,0,66.48
Crosshouse Medical Practice - Crosshouse (80166),80166,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,118,78.53,0,21.47
Crown Medical Practice - Inverness (55893),55893,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,112,85.86,0,14.14
Croyard Road Surgery - Beauly (55709),55709,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,120,85.62,0,14.38
Cruden Medical Group - Peterhead (31615),31615,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,108,69.18,0,30.82
Culbin Medical Practice - Forres (32815),32815,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,109,64.27,0,35.73
Culloden Medical Practice - Inverness (55766),55766,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,125,87.69,0,12.31
Culloden Surgery - Inverness (55751),55751,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,128,97.47,0,2.53
Cults Medical Group - Aberdeen (31230),31230,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,94,92.53,0,7.47
Cumbrae Medical Practice - Millport (80679),80679,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,107,92.55,0,7.45
Dailly Medical Practice - Dailly (80185),80185,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,94,95.33,0,4.67
Daisy Villa - Orkney (38051),38051,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,116,98.22,0,1.78
Dalbeattie Medical Practice - Dalbeattie (18240),18240,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,118,83.01,0,16.99
Dalblair Medical Practice - Ayr (80077),80077,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,108,94.53,0,5.47
Dalhousie Medical Practice - Bonnyrigg (77055),77055,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,119,72.15,0,27.85
Dalkeith Medical Practice - Dalkeith (77197),77197,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,109,51.57,0,48.43
Dalkeith Road Medical Practice - Edinburgh (70470),70470,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,126,93.91,0,6.09
