Provider PHIN ID,Provider,Site PHIN ID,Site,Sector,Site Profile URL,Site URL,Site Address 1,Site Address 2,Site City,Site Postcode,Site Longitude,Site Latitude,Site ODS Code,Site GOR,Provider ODS Code,Regulator,Regulator ID,Regulator Rating
PHIN-92J,Aneurin Bevan University Health Board,PHIN-NWP001,Royal Gwent Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/royal-gwent-hospital-59060,,Cardiff Road,,Newport,NP20 2UB,-2.998,51.580,7A6AR,Wales,7A6,HIW,,
PHIN-92J,Aneurin Bevan University Health Board,PHIN-NWP002,St Woolos Acute Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/st-woolos-acute-hospital-58908,,Stow Hill,,Newport,NP20 4SZ,-3.003,51.582,7A6AT,Wales,7A6,HIW,,
PHIN-92J,Aneurin Bevan University Health Board,PHIN-TOF007,The Grange University Hospital,NHS PPU,,,,,,NP44 8YN,-2.996,51.646,,Wales,7A6,HIW,,
PHIN-92J,Aneurin Bevan University Health Board,PHIN-CAY001,Ysbyty Ystrad Fawr,NHS PPU,https://www.phin.org.uk/profiles/hospitals/ysbyty-ystrad-fawr-59977,,Ysbyty Ystrad Fawr,Ystrad Fawr Way,Hengoed,CF82 7GP,-3.234,51.635,,Wales,7A6,HIW,,
PHIN-89B,ASET Hospital,PHIN-KWL006,ASET Hospital,IND,,,,,,L35 7LS,-2.780,53.425,,North West,,CQC,1-6683212183,
PHIN-12G,Aspen Healthcare,PHIN-GRL097,Aspen - Highgate Private Hospital,IND,https://www.phin.org.uk/profiles/hospitals/aspen---highgate-private-hospital-23961,http://www.highgatehospital.co.uk,17-19 View Road,Highgate,London,N6 4DJ,-0.156,51.577,NYW03,London,NYW,CQC,1-1890546867,Good
PHIN-12G,Aspen Healthcare,PHIN-SOL011,Aspen - Midland Eye,IND,https://www.phin.org.uk/profiles/hospitals/aspen---midland-eye-90026,https://www.midlandeye.com/,50 Lode Lane,,Solihull,B91 2AW,-1.776,52.420,,West Midlands,NYW,CQC,1-120632398,Good
PHIN-12G,Aspen Healthcare,PHIN-LDS031,Aspen - Nova Healthcare,IND,,,,,,LS9 7TF,-1.519,53.807,NYW25,Yorkshire and The Humber,NYW,CQC,1-764278383,Good
PHIN-12G,Aspen Healthcare,PHIN-GRL035,Aspen - Parkside Hospital Wimbledon,IND,https://www.phin.org.uk/profiles/hospitals/aspen---parkside-hospital-wimbledon-23960,http://www.parkside-hospital.co.uk,53 Parkside,,Wimbledon,SW19 5NX,-0.224,51.436,NYW02,London,NYW,CQC,1-1890547068,Good
PHIN-12G,Aspen Healthcare,PHIN-EDH004,Aspen - The Edinburgh Clinic,IND,https://www.phin.org.uk/profiles/hospitals/aspen---the-edinburgh-clinic-59897,http://www.edinburghclinic.com/,40 Colinton Rd,,Edinburgh,EH10 5BT,-3.227,55.930,SP158,Scotland,NYW,HIS,,
PHIN-12G,Aspen Healthcare,PHIN-ESS002,Aspen - The Holly Private Hospital,IND,https://www.phin.org.uk/profiles/hospitals/aspen---the-holly-private-hospital-23959,http://www.aspen-healthcare.co.uk/holly-house-hospital/,High Road,Buckhurst Hill,Epping Forest,IG9 5HX,0.032,51.625,NYW01,East of England,NYW,CQC,1-1890528285,Good
PHIN-89P,Barts Health NHS Trust,PHIN-GRL082,Newham University Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/newham-university-hospital-25541,http://bartshealth.nhs.uk/our-hospitals/newham-university-hospital/,Glen Road,,London,E13 8SL,0.035,51.523,R1HNH,London,R1H,CQC,R1HNH,Requires improvement
PHIN-89P,Barts Health NHS Trust,PHIN-GRL003,St Bartholomew's Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/st-bartholomew's-hospital-25533,http://bartshealth.nhs.uk/our-hospitals/st-bartholomew%E2%80%99s-hospital/,West Smithfield,,London,EC1A 7BE,-0.100,51.518,R1HM0,London,R1H,CQC,R1HM0,Good
PHIN-89P,Barts Health NHS Trust,PHIN-GRL005,The Royal London Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/the-royal-london-hospital-25441,http://bartshealth.nhs.uk/our-hospitals/the-royal-london-hospital/,Whitechapel,,London,E1 1BB,-0.058,51.519,R1H12,London,R1H,CQC,R1H12,Good
PHIN-89P,Barts Health NHS Trust,PHIN-GRL081,Whipps Cross University Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/whipps-cross-university-hospital-25529,http://bartshealth.nhs.uk/our-hospitals/whipps-cross-university-hospital/,Whipps Cross Road,,London,E11 1NR,0.003,51.579,R1HKH,London,R1H,CQC,R1HKH,Requires improvement
PHIN-76O,Basildon and Thurrock University Hospitals NHS Foundation Trust ,PHIN-ESS043,Basildon University Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/basildon-university-hospital-92328,,Basildon Hospital,Nethermayne,Basildon,SS16 5NL,0.453,51.559,,East of England,RDD,CQC,,
PHIN-76O,Basildon and Thurrock University Hospitals NHS Foundation Trust ,PHIN-ESS006,Nash Basildon,NHS PPU,https://www.phin.org.uk/profiles/hospitals/nash-basildon-21680,http://www.orwellppu.co.uk/,Nethermayne,,Basildon,SS16 5NL,0.451,51.558,NVC41,East of England,RDD,CQC,1-128732930,Good
PHIN-63N,Bedford Hospital NHS Trust,PHIN-BDF002,Bedford Hospital South Wing,NHS PPU,https://www.phin.org.uk/profiles/hospitals/bedford-hospital-south-wing-27481,https://www.bridgesclinic.co.uk,South Wing,Kempston Road,Bedford,MK42 9DJ,-0.472,52.128,RC110,East of England,RC1,CQC,RC110,Requires improvement
PHIN-16W,Belfast Health and Social Care Trust,PHIN-BFS001,Belfast City Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/belfast-city-hospital-58801,https://belfasttrust.hscni.net/hospitals/bch/,51 Lisburn Road,,Belfast,BT9 7AB,-5.945,54.587,Z1020,Northern Ireland,ZT1,RQIA,,
PHIN-16W,Belfast Health and Social Care Trust,PHIN-BFS002,Mater Infirmorum Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/mater-infirmorum-hospital-58806,http://belfasttrust.hscni.net/hospitals/mater/,45-51 Crumlin Road,,Belfast,BT14 6AB,-5.940,54.609,Z1100,Northern Ireland,ZT1,RQIA,,
PHIN-16W,Belfast Health and Social Care Trust,PHIN-BFS003,Musgrave Park Hospital,NHS PPU,,,,,,BT9 7JB,-5.978,54.568,Z1030,Northern Ireland,ZT1,RQIA,,
PHIN-16W,Belfast Health and Social Care Trust,PHIN-BFS004,Royal Belfast Hospital for Sick Children,NHS PPU,https://www.phin.org.uk/profiles/hospitals/royal-belfast-hospital-for-sick-children-59883,https://belfasttrust.hscni.net/hospitals/childrens/,274 Grosvenor Road,,Belfast,BT12 6BA,-5.955,54.594,,Northern Ireland,ZT1,RQIA,,
PHIN-16W,Belfast Health and Social Care Trust,PHIN-KEN010,Royal Victoria Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/royal-victoria-hospital-44852,http://belfasttrust.hscni.net/hospitals/rvh/,274 Grosvenor Road,,Belfast,BT12 6BA,-5.682,54.641,RWF34,Northern Ireland,ZT1,RQIA,,
PHIN-05Y,Bella Vou Pantiles Clinic,PHIN-KEN078,The Bella Vou Pantiles Clinic,IND,,,,,,TN2 5TE,0.258,51.126,,South East,,CQC,1-1830121843,Outstanding
PHIN-10L,Benenden Hospital Trust,PHIN-KEN015,Benenden Hospital,IND,https://www.phin.org.uk/profiles/hospitals/benenden-hospital-20899,https://www.benendenhospital.org.uk,Benenden Hospital,Goddards Green Road,Cranbrook,TN17 4AX,0.615,51.087,NTY57,South East,NWF,CQC,1-118024670,Outstanding
PHIN-26C,Bespoke Healthcare,PHIN-LAN009,Greater Lancashire Hospital,IND,https://www.phin.org.uk/profiles/hospitals/greater-lancashire-hospital-59919,https://greaterlancashirehospital.co.uk/,Greater Lancashire Hospital,Wyder Court,Preston,PR2 5BW,-2.648,53.786,,North West,,CQC,1-1202558282,Good
PHIN-19W,Best Life Clinic,PHIN-STT017,Best Life Clinic,IND,https://www.phin.org.uk/profiles/hospitals/best-life-clinic-98902,,27 Norton Road,,Stockton-on-Tees,TS18 2BW,-1.313,54.568,,North East,,CQC,1-2711285000,Good
PHIN-69F,Betsi Cadwaladr University Health Board,PHIN-CWY001,Abergele Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/abergele-hospital-59288,http://www.wales.nhs.uk/sitesplus/861/page/42921,Llanfair Road,,Abergele,LL22 8DP,-3.580,53.266,7A1A2,Wales,7A1,HIW,,
PHIN-69F,Betsi Cadwaladr University Health Board,PHIN-DEN001,Glan Clwyd Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/glan-clwyd-hospital-33094,http://www.wales.nhs.uk/sitesplus/861/page/41577,Rhuddlan Road,"Bodelwyddan,",Rhyl,LL18 5UJ,-3.496,53.272,RL121,Wales,7A1,HIW,,
PHIN-69F,Betsi Cadwaladr University Health Board,PHIN-CWY003,Llandudno General Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/llandudno-general-hospital-59980,http://www.wales.nhs.uk/sitesplus/861/page/42144,Llandudno General Hospital,Hospital Road,Conwy,LL30 1LB,-3.828,53.311,,Wales,7A1,HIW,,
PHIN-69F,Betsi Cadwaladr University Health Board,PHIN-WRX002,Wrexham Maelor Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/wrexham-maelor-hospital-24999,http://www.wales.nhs.uk/sitesplus/861/page/42939,Croesnewydd Road,"Wrexham Technology Park,",Wrexham,LL13 7TD,-3.008,53.046,R1DD4,Wales,7A1,HIW,,
PHIN-69F,Betsi Cadwaladr University Health Board,PHIN-GWN001,Ysbyty Gwynedd,NHS PPU,https://www.phin.org.uk/profiles/hospitals/ysbyty-gwynedd-33089,http://www.wales.nhs.uk/sitesplus/861/page/41562,Penrhosgarnedd,,Bangor,LL57 2PW,-4.160,53.209,RL116,Wales,7A1,HIW,,
PHIN-56K,Birmingham Women's and Children's NHS Foundation Trust,PHIN-BIR005,Birmingham Children's Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/birmingham-children's-hospital-36085,,Steelhouse Lane,,Birmingham,B4 6NH,-1.894,52.485,RQ301,West Midlands,RQ3,CQC,RQ301,Outstanding
PHIN-37G,Blackpool Teaching Hospitals NHS Foundation Trust,PHIN-BPL002,Blackpool Victoria Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/blackpool-victoria-hospital-50030,,Blackpool Wyre & Fylde Health Authority,Victoria Hospital,Blackpool,FY3 8NR,-3.043,53.873,RXL01,North West,RXL,CQC,RXL01,Inadequate
PHIN-60N,Bradford Teaching Hospitals NHS Foundation Trust,PHIN-BRD001,Bradford Royal Infirmary,NHS PPU,https://www.phin.org.uk/profiles/hospitals/bradford-royal-infirmary-26120,,Duckworth Lane,,Bradford,BD9 6RJ,-1.795,53.806,RAE01,Yorkshire and The Humber,RAE,CQC,RAE01,Requires improvement
PHIN-42C,Brighton And Sussex University Hospitals NHS Trust,PHIN-WSX001,Hurstwood Park Neurosciences Centre,NHS PPU,https://www.phin.org.uk/profiles/hospitals/hurstwood-park-neurosciences-centre-49841,,Lewes Road,,Haywards Heath,RH16 4EX,-0.090,50.991,RXH10,South East,RXH,CQC,RXH09,
PHIN-42C,Brighton And Sussex University Hospitals NHS Trust,PHIN-WSX002,Princess Royal Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/princess-royal-hospital-49840,,Lewes Road,,Haywards Heath,RH16 4EX,-0.090,50.991,RXH09,South East,RXH,CQC,RXH09,
PHIN-42C,Brighton And Sussex University Hospitals NHS Trust,PHIN-BNH001,Royal Alexandra Children's Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/royal-alexandra-children's-hospital-49838,,Eastern Road,,Brighton,BN2 5BE,-0.118,50.820,RXH06,South East,RXH,CQC,RXH01,
PHIN-42C,Brighton And Sussex University Hospitals NHS Trust,PHIN-BNH002,Royal Sussex County Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/royal-sussex-county-hospital-49836,,Eastern Road,,Brighton,BN2 5BE,-0.118,50.820,RXH01,South East,RXH,CQC,RXH01,
PHIN-42C,Brighton And Sussex University Hospitals NHS Trust,PHIN-BNH003,Sussex Eye Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/sussex-eye-hospital-49839,,Eastern Road,,Brighton,BN2 5BF,-0.118,50.819,RXH07,South East,RXH,CQC,RXH01,
PHIN-42C,Brighton And Sussex University Hospitals NHS Trust,PHIN-WSX003,Sussex Orthopaedic NHS Treatment Centre,NHS PPU,https://www.phin.org.uk/profiles/hospitals/sussex-orthopaedic-nhs-treatment-centre-49883,,Lewes Road,,Haywards Heath,RH16 4EY,-0.090,50.991,RXH60,South East,RXH,CQC,RXH09,
PHIN-68S,Buckinghamshire Healthcare NHS Trust,PHIN-BKM005,Stoke Mandeville Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/stoke-mandeville-hospital-50575,,Mandeville Road,,Aylesbury,HP21 8AL,-0.803,51.798,RXQ02,South East,RXQ,CQC,RXQ02,Good
PHIN-68S,Buckinghamshire Healthcare NHS Trust,PHIN-BKM006,Wycombe Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/wycombe-hospital-50600,,Queen Alexandra Road,,High Wycombe,HP11 2TT,-0.753,51.626,RXQ50,South East,RXQ,CQC,RXQ50,Good
PHIN-06U,Bupa Cromwell ,PHIN-GRL001,Cromwell Hospital,IND,https://www.phin.org.uk/profiles/hospitals/cromwell-hospital-21560,https://www.cromwellhospital.com,162-174 Cromwell Road,,London,SW5 0TU,-0.191,51.495,NV7R1,London,,CQC,1-130440888,Good
PHIN-71H,Calderdale and Huddersfield NHS Foundation Trust,PHIN-CLD002,Calderdale Royal Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/calderdale-royal-hospital-46599,,Salterhebble,,Halifax,HX3 0PW,-1.858,53.705,RWY02,Yorkshire and The Humber,RWY,CQC,RWY02,Good
PHIN-71H,Calderdale and Huddersfield NHS Foundation Trust,PHIN-KIR002,Huddersfield Royal Infirmary,NHS PPU,https://www.phin.org.uk/profiles/hospitals/huddersfield-royal-infirmary-46598,,Acre Street,,Huddersfield,HD3 3EA,-1.816,53.656,RWY01,Yorkshire and The Humber,RWY,CQC,RWY01,Good
PHIN-85K,Cambridge University Hospitals NHS Foundation Trust,PHIN-CAM001,Addenbrooke's Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/addenbrooke's-hospital-30270,https://www.cuh.nhs.uk/addenbrookes-hospital,Hills Road,,Cambridge,CB2 0QQ,0.139,52.174,RGT01,East of England,RGT,CQC,RGT01,Good
PHIN-47A,Cardiff and Vale University Health Board,PHIN-VGL002,University Hospital Llandough,NHS PPU,https://www.phin.org.uk/profiles/hospitals/university-hospital-llandough-59069,,Penlan Road,,Llandough,CF64 2XX,-3.203,51.450,7A4C1,Wales,7A4,HIW,,
PHIN-47A,Cardiff and Vale University Health Board,PHIN-CRF002,University Hospital of Wales,NHS PPU,https://www.phin.org.uk/profiles/hospitals/university-hospital-of-wales-59422,,Heath Park,,Cardiff,CF14 4XW,-3.189,51.507,7A4BV,Wales,7A4,HIW,,
PHIN-97V,Centre for Surgery  ,PHIN-HRT044,Centre for Surgery,IND,,,,,,WD24 7NE,-0.385,51.679,,East of England,,CQC,1-552324821,Good
PHIN-97V,Centre for Surgery  ,PHIN-GRL244,Centre for Surgery,IND,,,,,,W1H 2HY,-0.160,51.520,,London,,CQC,,
PHIN-04D,Chelsea and Westminster Hospital NHS Foundation Trust,PHIN-GRL006,Chelsea & Westminster Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/chelsea-&-westminster-hospital-36270,,369 Fulham Road,,London,SW10 9NH,-0.182,51.484,RQM01,London,RQM,CQC,RQM01,Outstanding
PHIN-04D,Chelsea and Westminster Hospital NHS Foundation Trust,PHIN-GRL034,West Middlesex University Hospital,NHS PPU,,,,,,TW7 6AF,-0.324,51.474,RQM91,London,RQM,CQC,RQM91,Good
PHIN-18R,Circle Health Group,PHIN-ABE001,Albyn Hospital,IND,https://www.phin.org.uk/profiles/hospitals/albyn-hospital-59880,http://www.bmihealthcare.co.uk/albyn,21 - 24 Albyn Place,Aberdeen,Aberdeenshire,AB10 1RW,-2.118,57.142,SND01,Scotland,NT4,HIS,,
PHIN-18R,Circle Health Group,PHIN-BAS001,Bath Clinic,IND,https://www.phin.org.uk/profiles/hospitals/bath-clinic-19752,http://www.bmihealthcare.co.uk/bathclinic,Claverton Down Road,Combe Down,Bath,BA2 7BR,-2.332,51.364,NT402,South West,NT4,CQC,1-128758255,Good
PHIN-18R,Circle Health Group,PHIN-GRL036,Bishops Wood Hospital,IND,https://www.phin.org.uk/profiles/hospitals/bishops-wood-hospital-19755,http://www.bmihealthcare.co.uk/bishopswood,Rickmansworth Road,Northwood,Middlesex,HA6 2JW,-0.447,51.617,NT405,London,NT4,CQC,1-128758337,Good
PHIN-18R,Circle Health Group,PHIN-COV002,BMI The Meriden Hospital,IND,https://www.phin.org.uk/profiles/hospitals/bmi-the-meriden-hospital-19774,https://www.circlehealthgroup.co.uk/hospitals/the-meriden-hospital,Meriden Hospital,University Hospital,Coventry,CV2 2LQ,-1.439,52.423,NT424,West Midlands,NT4,CQC,1-128767023,Requires improvement
PHIN-18R,Circle Health Group,PHIN-SAY001,Carrick Glen Hospital,IND,https://www.phin.org.uk/profiles/hospitals/carrick-glen-hospital-59937,http://www.bmihealthcare.co.uk/carrickglen,B M I Carrick Glen Hospital,Dalmellington Road,Ayr,KA6 6PG,-4.583,55.430,SAD01,Scotland,NT4,HIS,,
PHIN-18R,Circle Health Group,PHIN-GRL038,Chelsfield Park Hospital,IND,https://www.phin.org.uk/profiles/hospitals/chelsfield-park-hospital-19759,http://www.bmihealthcare.co.uk/chelsfield,Bucks Cross Road,Chelsfield,Orpington,BR6 7RG,0.131,51.359,NT409,London,NT4,CQC,1-128758401,Good
PHIN-18R,Circle Health Group,PHIN-BAS002,Circle Bath,IND,https://www.phin.org.uk/profiles/hospitals/circle-bath-21390,http://www.circlepartnership.co.uk/locations/bath,Foxcote Avenue,Peasedown St John,Bath,BA2 8SQ,-2.417,51.311,NV302,South West,NT4,CQC,1-119269999,Good
PHIN-18R,Circle Health Group,PHIN-NGM003,Circle Nottingham NHS Treatment Centre,IND,,,,,,NG7 2FT,-1.182,52.942,NV313,East Midlands,NT4,CQC,1-120587279,Good
PHIN-18R,Circle Health Group,PHIN-RDG002,Circle Reading Hospital,IND,https://www.phin.org.uk/profiles/hospitals/circle-reading-hospital-21413,http://www.circlehealth.co.uk/locations/reading,100 Drake Way,,Reading,RG2 0NE,-0.976,51.429,NV323,South East,NT4,CQC,1-445725083,Good
PHIN-18R,Circle Health Group,PHIN-LAN005,Gisburne Park Hospital,IND,https://www.phin.org.uk/profiles/hospitals/gisburne-park-hospital-19846,http://www.bmihealthcare.co.uk/gisburnepark,Park Rd,Gisburn,Near Clitheroe,BB7 4HX,-2.268,53.943,NT497,North West,NT4,CQC,1-128758296,Good
PHIN-18R,Circle Health Group,PHIN-WSX007,Goring Hall Hospital,IND,https://www.phin.org.uk/profiles/hospitals/goring-hall-hospital-19767,http://www.bmihealthcare.co.uk/goringhall,Goring-by-Sea,,Worthing,BN12 5AT,-0.432,50.811,NT417,South East,NT4,CQC,1-128766799,Good
PHIN-18R,Circle Health Group,PHIN-GRL040,Hendon Hospital,IND,https://www.phin.org.uk/profiles/hospitals/hendon-hospital-19766,http://www.bmihealthcare.co.uk/hendonhospital,46-50 Sunny Gardens Road,Hendon,London,NW4 1RP,-0.225,51.594,NT416,London,NT4,CQC,1-128766778,Good
PHIN-18R,Circle Health Group,PHIN-STG001,King's Park Hospital,IND,https://www.phin.org.uk/profiles/hospitals/king's-park-hospital-59941,https://www.circlehealthgroup.co.uk/hospitals/kings-park-hospital,Kings Park Hospital,Polmaise Road,Stirling,FK7 9JH,-3.954,56.107,SVD01,Scotland,NT4,HIS,,
PHIN-18R,Circle Health Group,PHIN-SRY007,Mount Alvernia Hospital,IND,https://www.phin.org.uk/profiles/hospitals/mount-alvernia-hospital-19804,http://www.bmihealthcare.co.uk/mountalvernia,Harvey Road,,Guildford,GU1 3LX,-0.564,51.236,NT455,South East,NT4,CQC,1-128767043,Good
PHIN-18R,Circle Health Group,PHIN-GLG001,Ross Hall Hospital,IND,https://www.phin.org.uk/profiles/hospitals/ross-hall-hospital-59899,https://www.circlehealthgroup.co.uk/hospitals/ross-hall-hospital,Ross Hall Hospital,221 Crookston Road,Glasgow,G52 3NQ,-4.365,55.839,SGD01,Scotland,NT4,HIS,,
PHIN-18R,Circle Health Group,PHIN-HAM004,Sarum Road Hospital,IND,https://www.phin.org.uk/profiles/hospitals/sarum-road-hospital-19783,https://www.circlehealthgroup.co.uk/hospitals/sarum-road-hospital,Sarum Road Hospital,Sarum Road,Winchester,SO22 5HA,-1.340,51.061,NT433,South East,NT4,CQC,1-128767211,Good
PHIN-18R,Circle Health Group,PHIN-GRL043,Shirley Oaks Hospital,IND,https://www.phin.org.uk/profiles/hospitals/shirley-oaks-hospital-19786,http://www.bmihealthcare.co.uk/shirleyoaks,Poppy Lane,Shirley Oaks Village,Croydon,CR9 8AB,-0.056,51.382,NT436,London,NT4,CQC,1-128767270,Good
PHIN-18R,Circle Health Group,PHIN-SOS001,Southend Private hospital,IND,https://www.phin.org.uk/profiles/hospitals/southend-private-hospital-19839,,15-17 Fairfax Drive,,Westcliff on Sea,SS0 9AG,0.700,51.550,NT490,East of England,NT4,CQC,1-5462921034,Good
PHIN-18R,Circle Health Group,PHIN-SFK001,St Edmunds Hospital,IND,https://www.phin.org.uk/profiles/hospitals/st-edmunds-hospital-19795,http://www.bmihealthcare.co.uk/stedmunds,St Marys Square,Bury St Edmunds,St Edmundsbury,IP33 2AA,0.719,52.240,NT446,East of England,NT4,CQC,1-128767355,Good
PHIN-18R,Circle Health Group,PHIN-SKP001,The Alexandra Hospital,IND,https://www.phin.org.uk/profiles/hospitals/the-alexandra-hospital-19751,http://www.bmihealthcare.co.uk/alexandra,Mill Lane,,Cheadle,SK8 2PX,-2.216,53.397,NT401,North West,NT4,CQC,1-128758569,Good
PHIN-18R,Circle Health Group,PHIN-BBD001,The Beardwood Hospital,IND,https://www.phin.org.uk/profiles/hospitals/the-beardwood-hospital-19753,https://www.bmihealthcare.co.uk/hospitals/bmi-the-beardwood-hospital,Preston New Road,Blackburn,Blackburn with Darwen,BB2 7AE,-2.513,53.755,NT403,North West,NT4,CQC,1-128758505,Good
PHIN-18R,Circle Health Group,PHIN-BOL001,The Beaumont Hospital,IND,https://www.phin.org.uk/profiles/hospitals/the-beaumont-hospital-19754,https://www.circlehealthgroup.co.uk/hospitals/the-beaumont-hospital,Beaumont Hospital,Beaumont Hospital,Bolton,BL6 4LA,-2.499,53.582,NT404,North West,NT4,CQC,1-128758526,Good
