gp_practice,gp_number,DataZone,PracticeListSize,q1_positive,q2_positive,q3_positive,income_rank,employment_rank,health_rank,housing_rank,education_rank,access_rank,employment_rate,CIF,working_age_percentage,urban_location,minority_pop,age_distribution,gender_distribution,employment_percentage
Almond Group Practice - Kirkliston (78359),78359,S01008999,10068,63.45,80.05,78.59,3104,3425.5,2861,3606,3901,1798,0.08,95,57.54,1,4.1,64.24,50.95,73.9
Alness/Invergordon Med Prcte - Alness (55338),55338,S01010737,13200,35.89,85.15,63.32,2167,1954,2457,5149.5,2007,5283,0.13,135,57.84,0,4.43,62.18,49.63,78.6
Alva Medical Practice - Alva (25046),25046,S01007428,13115,57.34,86.26,87.43,1812,2374,2446,2701,2927,6950,0.11,115,61.05,1,3.38,62.71,51.54,72.9
Alyth Health Centre - Alyth (10125),10125,S01011975,4385,89.13,98.63,97.88,4637,4551,4403,3987,4622,1562,0.05,60,54.51,0,2.21,58.49,51.06,75.3
An Caorann Medical Practice - Portsoy (31456),31456,S01007025,4766,32.97,83.96,70.88,2785,2412,2846,4337,1941,3324,0.11,100,56.44,0,2.67,58.85,50.27,79.5
Anchor Mill Medical Practice - Paisley (87471),87471,S01012128,8893,68.01,85.79,87.79,1424,1637,1422,1256,1982,6162,0.14,130,77.2,1,11.18,69.65,50.51,77.1
ANCRUM MEDICAL CENTRE - Dundee (12210),12210,S01007835,3613,72.57,91.09,87.09,3244,2943,3154,2135,5060,6530,0.09,105,62.24,1,8.2,67.15,52.23,71.7
ANCRUM ONE - Dundee (11096),11096,S01007835,4772,81.22,94.41,93.34,3244,2943,3154,2135,5060,6530,0.09,105,62.24,1,8.2,65.05,49.54,71.7
"Annandale Medical Practice - Bellevue Medical Centre, Edinburgh (70499)",70499,S01008845,7840,82.67,86.83,96.62,6585,6858,6812,2087,6664,6683,0.01,20,82.89,1,27.9,82.46,53.01,73.9
Annat Bank Practice - Montrose (13706),13706,S01007211,5894,81.66,79.12,92.67,1420,1212,1758,1661,1623,5675,0.16,155,64.59,1,4.76,62.33,49.47,72.2
Annfield Medical Centre - Glasgow (46127),46127,S01010252,1986,91.93,98.02,87.51,2998,3095,2730,659,3715,6728,0.09,105,77.74,1,17.57,84.29,46.17,69.8
Anniesland Medical Practice - Glasgow (40051),40051,S01010476,8744,81.87,83.81,92.46,3155,4020,2549,2481,3792,6694,0.06,120,67.34,1,7.16,67.63,52.02,69.8
Anstruther Medical Practice - Fife (20004),20004,S01009708,6288,66.34,90.94,85.68,2649,3376,2949,5641,4328,2187,0.08,90,55.73,1,2.13,60.37,50.75,70.4
Antonine Medical Practice - Bonnybridge (25192),25192,S01009079,4980,64.24,59.13,88.44,1600,1645,947,3190,878,5194,0.14,150,57.19,1,2.25,66.77,51.24,75.2
Applecross Surgery - Ross And Cromarty (55342),55342,S01010688,269,94.63,100,94.11,4966.5,5236,6017,1881,6020,9,0.04,40,62.54,0,4.07,61.71,48.7,78.6
Arbroath Medical Centre - Arbroath (10182),10182,S01007187,9188,51.43,83.02,83.85,1345,2018,2101,1290.5,1708,6923,0.13,120,65.52,1,9.7,63.32,51,72.2
Ardach Health Centre - Banffshire (32586),32586,S01011078,8965,52.39,77.23,70.41,5082,4764.5,5724,5909,4322,4696,0.05,60,58.98,0,1.91,61.38,50.94,75.3
Ardblair Medical Practice - Blairgowrie (10407),10407,S01011991,7827,51.55,83.93,87.29,3616,4165,3942,3580,2520,6807,0.06,85,64.64,0,2.96,55.54,51.08,75.3
Ardgowan Medical Practice - Greenock (86177),86177,S01010875,9285,54.45,86.34,80.49,1861,1802,2931,1827,4240,6958,0.13,105,66.4,1,7.35,65.81,50.04,68.2
Ardoch Medical Practice - Glasgow (60209),60209,S01012845,4121,81.08,82.09,92.28,3495.5,3087,2766,5853,5600,5929,0.09,120,61.92,1,4.38,67.07,49.89,76.9
Ark Medical Practice - Falkirk (25277),25277,S01009151,2616,90.67,100,90.75,3546,4615.5,2880,4625,4463,5608,0.05,100,51.79,1,4.16,63.07,49.46,75.2
Armadale Group Practice - Armadale (78241),78241,S01013388,13087,49.09,89.5,78.35,1551,1481,1320,3110,3200,6753,0.15,165,54.97,1,1.58,65.98,50.63,74.5
Armadale Medical Practice - Sutherland (55183),55183,S01010811,899,92.63,93.29,94.2,4023,4006,4950,3621,4652,148,0.06,75,61.22,0,2.11,56.62,48.72,78.6
Arran Medical Group - Isle of Arran (80927),80927,S01011175,5048,84.83,79.99,91.67,3147,3497,2685,2205,3363,6094,0.08,95,56.54,0,3.38,58.26,50.73,67.7
Ashfield Medical Practice - Milngavie (40173),40173,S01008046,7689,83.85,95.03,96.95,1947,1009,1633,3337,4227,5502,0.17,135,55.72,1,3.42,58.13,51.46,75.9
Ashgrove Group Practice - Blackburn (78330),78330,S01013358,7266,75.24,87.79,90.13,2442,2320,1599,3495,1951,4986,0.11,140,62.01,1,4.44,66.31,50.51,74.5
Ashton Medical Practice - Glasgow (40718),40718,S01010379,8035,70.19,69.59,88.84,3884,4160,3940,537,3922,6278,0.06,65,87.12,1,26.44,83.39,49.5,69.8
Assynt Medical Practice - Sutherland (55253),55253,S01010813,943,96.76,100,99.29,3737,3238.5,3720,916,3377,121,0.08,80,60.73,0,2.41,62.78,48.14,78.6
Atholl Medical Centre - Perthshire (14501),14501,S01012010,4915,69.25,86.52,93.67,5600,5159,5299,3218,6068,4277,0.04,50,55.49,0,14.08,59.08,50.19,75.3
Atlas Medical Practice - Glasgow (43097),43097,S01010212,2945,72.17,90.92,85.72,73,56,85,353,871,5984,0.32,245,67.55,1,13.94,70.87,49.54,69.8
Atrium Medical Practice - Coatbridge (61466),61466,S01011601,6527,67.92,72.66,83.96,5703.5,5548.5,4191,3727,4062,4519,0.03,75,71.43,1,5.07,66.92,51.26,69.7
Auchenblae Medical Centre - Auchenblae (32500),32500,S01006811,2136,79.8,83.06,89.4,4526,5396,6398,5097,5568,494,0.04,40,63.01,0,3.58,65.59,49.16,79.5
Auchinairn Medical Practice - Glasgow (43222),43222,S01008105,7158,55.24,68.41,84.16,1699.5,1511,1275,1444,2531,4407,0.15,170,67.22,1,4.38,63.93,51.31,75.9
Auchinleck Surgery - Auchinleck (80772),80772,S01007922,2903,56.27,59.34,82.39,748,441,836,1385,574,5158,0.22,195,61.73,1,1.73,64.76,48.4,73
Auchinraith Medical Practice - Blantyre (63334),63334,S01012760,5374,75.52,88.87,88.33,671,690,963,1292,959,6315,0.2,165,61.22,1,2.88,66.04,50.09,76.9
Auchtermuchty Practice - Auchtermuchty (20057),20057,S01009673,5658,47.98,89.69,83.2,3872,4779,4310,3575,3868,3063,0.05,65,61.07,0,3.7,59.83,51.2,70.4
Aultbea & Gairloch Medical Practice - Aultbea (55357),55357,S01010694,2368,87.65,87.46,89.04,4078,3502,5154,4836,4679,439,0.08,65,49.3,0,2.25,58.78,48.35,78.6
Aviemore Medical Practice - Aviemore (55911),55911,S01010536,5347,77.29,77.99,89.28,2744.5,3372,3879,2359.5,2256,4982,0.08,100,60.35,0,6.01,66.13,49.78,78.6
Avondale Medical Practice - Strathaven (63739),63739,S01012688,7908,73.18,90.69,91.18,2963,2915,2470,3740,4916,6441,0.09,110,65.17,1,4.05,61.27,50.43,76.9
Ayrshire Medical Group - Stevenston (81012),81012,S01011268,12453,28.61,88.74,74.85,2610,2267,2196,2898,3574,6829,0.12,95,55.2,1,3.2,63.29,51.05,67.7
Baker Street Surgery - Glasgow (49318),49318,S01009924,2294,95.63,92.87,96.65,2815,3073,3748,441,3778,6624,0.09,110,79.02,1,23.04,76.29,48.78,69.8
Balfron Health Centre - Balfron (25051),25051,S01013012,2944,91.24,95.28,95.47,4279,3997,4286,3516,5000,6735,0.06,75,64.44,0,4.98,62.7,51.29,74.8
Ballachulish Medical Practice - Ballachulish (56025),56025,S01010526,1597,66.56,87.46,90.23,3855,4816,3458,3314,5089,4781,0.05,90,59.7,0,3.69,61.11,50.91,78.6
Ballantrae Medical Practice - Ballantrae (80132),80132,S01012417,1562,96.89,100,95.9,1870,1576.5,2475,4097,4124,992,0.14,130,53.57,0,2.99,57.23,49.42,71.9
Ballater Clinic - Ballater (32317),32317,S01006790,1905,90.21,96.36,88.87,4439,3611,5148,2500.5,3881,6322,0.07,55,53.02,0,2.66,58.01,50.08,79.5
Ballochmyle Medical Group - Catrine (80749),80749,S01007885,8755,28.1,66.53,70.4,204.5,240,111,1427,837,2765,0.25,235,66.38,0,0.14,63.43,50.29,73
Balmore Surgery - Glasgow (43256),43256,S01010311,3418,92.06,90.47,97.28,183,349,150,369,117,6379,0.24,245,70.44,1,10.96,67.06,50.91,69.8
Banchory Group Practice - Aberdeenshire (32406),32406,S01006865,13099,65.02,89.73,93.48,6232,6497,6107,4564,6533,6006,0.02,30,60.35,1,10.55,60.49,50.48,79.5
Bank Street Medical Group - Cupar (20413),20413,S01009687,7826,79.05,90.58,93.27,4638,3943,4046,5289,3579,5078,0.06,80,62.06,1,2.49,63.03,50.92,70.4
Bankfield Medical Practice - Ayr (80842),80842,S01012463,6336,78.46,85.92,88.32,1485,715,679,2498,1718,3773,0.19,150,66.91,1,1.21,64.88,51.64,71.9
Bankhouse Medical Practice - Airdrie (61151),61151,S01011643,4030,45.1,92.47,77.66,4137,5612,2752,3339,4476,5212,0.03,95,66.91,1,6.61,68.11,51.51,69.7
Barclay Medical Practice - Fauldhouse (78414),78414,S01013248,5279,60.68,91.69,75.78,722,430,564,1345,740,6739,0.23,195,64.86,1,1.91,65.83,49.95,74.5
Barclay Medical Practice - Livingston (78397),78397,S01013350,12523,36.37,79.25,73.18,1584,1947,1437,2431,1341,6686,0.13,155,66.62,1,6.34,70.26,49.11,74.5
Barclay Medical Practice East Craigs - Edinburgh (71434),71434,S01008958,9047,58.62,90.83,85.47,2582,2385,2339,2287,2893,1739,0.11,140,65.44,1,11.36,68.42,51.06,73.9
Barclay Medical Practice Victoria Park - Glasgow (40578),40578,S01010429,3767,79.8,96.31,86.89,5387.5,4835,5411,5694,6642,6904,0.05,65,64.91,1,9.1,68.94,49.8,69.8
Bargarran Medical Practice - Erskine (87733),87733,S01012210,4156,40.55,67.3,70.86,2475,2546,1504,2112,3526,5704,0.11,140,57.47,1,1.65,65.11,51.25,77.1
Barns Medical Practice - Ayr (80081),80081,S01012482,9338,95.17,93.27,96.04,3337,2009,2014,3746,4357,6840,0.13,100,51.25,1,5.51,65.57,50.12,71.9
Baronscourt Surgery - Edinburgh (70658),70658,S01008742,7308,63.61,93.5,89.4,3578,4005,3234,4244.5,4988,6733,0.06,95,57.68,1,8.26,70.92,49.52,73.9
Barra Medical Practice - Isle Of Barra (90149),90149,S01009014,1279,74.87,94.19,92.75,2892,2800,3328,3813,4593,1102,0.1,115,58.86,0,1.29,58.17,50.51,81
Beith Health Centre GP Practice - Beith (80147),80147,S01011352,5929,57.27,83.36,85.29,2084,2421,2459,2398,2438,6595,0.11,120,63.4,1,1.69,65.47,49.86,67.7
Bellyeoman Surgery - Dunfermline (20490),20490,S01009303,10775,79.46,85.95,93.49,4179,4457,3564,5830,6025,5100,0.05,75,54.19,1,5.84,66.12,50.88,70.4
Benarty Medical Practice - Fife (21421),21421,S01009430,4712,66.2,93.19,82.86,1418,1279,1308,2109,1130,4899,0.16,165,62.67,1,1.22,63.77,51.17,70.4
Benbecula Medical Practice - Isle Of Benbecula (90120),90120,S01009019,2322,93.24,92.22,96.4,4750.5,3856,3396,4146,3348,628,0.07,80,58.46,0,2.31,62.58,49.74,81
Bennochy Medical Centre - Fife (20979),20979,S01009486,9182,65.82,88.38,90.59,3658,2358,3917,5589,3764,5268,0.11,75,55.14,1,4.62,63.15,50.97,70.4
Biggar Health Centre - Biggar (62312),62312,S01012576,7713,69.58,93.92,88.64,4841,5256,4554,4965,5732,6021,0.04,60,56.46,0,2.97,61.71,50.8,76.9
Bishopton Medical Practice - Bishopton (87112),87112,S01012216,10311,43.4,62.07,84.58,6438,5791,5499,6782,5943,5423,0.03,55,65.37,1,1.27,61.98,51.65,77.1
Bixter Health Centre - Shetland (39068),39068,S01012407,1907,96.4,99.07,97.36,5268,6048,5264,4627,4545,486,0.03,45,61,0,2.09,59.36,49.5,74.6
Blackfriars Medical Practice - St Andrews (21825),21825,S01009730,9080,71.44,75.54,85.99,5419.5,5188,4373,4264,4152,4937,0.04,65,57.65,1,14.88,79.64,51.06,70.4
Blackhall Medical Centre - Edinburgh (70535),70535,S01008893,6667,72.44,83,92.89,6404,6717,6730,6775,6866,6263,0.02,25,58.43,1,8.35,58.92,52.36,73.9
Blackwood Medical Practice (62628),62628,S01012649,3831,80.51,79.96,88.29,2538,2406,2600,3247,1763,6113,0.11,105,63.95,1,3.41,63.14,49.18,76.9
Bluewing Medical Practice - Clydebank (40262),40262,S01013128,6185,54.62,89.89,73.97,949.5,679,718,464,424,2290,0.2,185,79.83,1,3.69,65.74,51.74,72.8
Bo'ness Road Medical Practice - Grangemouth (25332),25332,S01009229,7872,41.42,71.8,62.87,3177,2459,2739,4327,4448,5710,0.11,100,64.09,1,3.6,64.25,51.93,75.2
Bonnybank Medical Practice - Bonnybridge (25205),25205,S01009079,8376,45.87,66.98,78.89,1600,1645,947,3190,878,5194,0.14,150,57.19,1,2.25,65.66,49.94,75.2
Boroughloch Medical Practice - Edinburgh (71379),71379,S01008614,8658,72.99,80.36,79.62,4923,5810,5143,300,5814,6885,0.03,60,86.05,1,22.01,92.63,58.95,73.9
Bothwell Medical Centre - Lanarkshire (63118),63118,S01012798,10634,56.74,82.27,90.62,4909,5282,4815,5329.5,5692,2043,0.04,65,59.59,1,6.67,64.59,51.31,76.9
Bourtreehill Medical Practice - Irvine (80306),80306,S01011196,9112,72.09,96.73,89.15,495,505,226,1621,1045,1867,0.22,200,58.1,1,1.44,66.73,51.01,67.7
Bowmore Medical Practice - Isle of Islay (84331),84331,S01007327,1247,80.21,94.49,89.58,2959.5,2309,1534,2525,3018,5943,0.11,140,59.48,0,2.42,62.07,50.6,75.8
Brae Medical Practice - Shetland (39049),39049,S01012410,2571,78.89,96.5,92.39,5263,5275,4090,4961,3862,2824,0.04,70,67.6,0,1.99,64.45,48.5,74.6
"Braefoot Medical Practice - Conan Doyle Medical Centre, Edinburgh (70893)",70893,S01008587,5233,54.66,91.29,89.31,5195.5,6698,5352,5630,6006,2338,0.02,50,70.04,1,32.06,73.99,50.26,73.9
Braehead Medical Practice - Renfrew (87697),87697,S01012183,7736,74.55,91.4,86.99,2367,2507.5,1591,1415,2066,5487,0.11,130,68.99,1,6.67,66.38,50.47,77.1
Braemar Health Clinic - Braemar (32321),32321,S01006793,684,100,100,100,5376.5,6481,6775,5323,5061,1637,0.02,35,62.33,0,9.57,62.72,50,79.5
Braeside Medical Practice - Galashiels (16230),16230,S01012285,4927,88.86,88.19,93.84,4749,3191,4377,4059,5668,4917,0.09,70,54.86,1,3.17,63.06,50.96,79.3
Braesview Medical Group - Polmont (25455),25455,S01009214,9662,63.27,77.84,85.28,5029,4526,4680,6406,4739,2691,0.05,60,59.37,1,2.18,63.83,50.61,75.2
Braidcraft Medical Centre - Glasgow (52043),52043,S01009799,5877,60.5,87.47,84.6,91,310,74,804,546,4026,0.24,255,67.39,1,5.07,69.41,50.4,69.8
Braids Medical Practice - Edinburgh (70075),70075,S01008539,9858,91.85,89.88,98.18,6517,6541,6807,6384,6836,2167,0.02,25,62.05,1,8.72,61.11,51.54,73.9
Branchalwood Medical Practice - Wishaw (62967),62967,S01011401,5709,46.96,73.05,78.58,2364,2242,2251,4322,3098,6555,0.12,130,63.23,1,1.85,65.86,49.66,69.7
Brechin Medical Practice (10498),10498,S01007234,8409,30.17,93.61,77.06,2273,3064,3872,2741,2119,3830,0.09,85,57.58,1,2.54,62.62,49.99,72.2
Bridge Of Allan Health Centre - Bridge Of Allan (25101),25101,S01013086,6952,75.45,94.65,90.15,5144,5067,5442,3447,5614,6705,0.04,50,70.48,1,14.45,60.63,50.09,74.8
Bridgewater Medical Centre - Erskine (87235),87235,S01012198,2029,65.56,67.11,91.64,3678,3009,2063,4165,3279,5968,0.09,110,59.58,1,1.5,64.22,47.81,77.1
Broadbay Medical Practice - Stornoway (90172),90172,S01009041,5877,81.74,96.91,93.88,1661,1446,2177,4396,4194,5870,0.15,120,62.33,0,5.62,61.43,49.57,81
Broomburn Medical Centre - Glasgow (49464),49464,S01008347,3009,78.78,92.77,90.67,5135,6383,4103,5088,6590,5128,0.02,85,52.05,1,7.96,54.2,53.47,73.6
Broughty Family Healthcare - Dundee (11306),11306,S01007759,9231,64.58,91.23,89.66,2432,2679,2629,1242,3738,6851,0.1,110,65.68,1,4.46,59.9,52.72,71.7
Bruce Medical Centre - Bellshill (62031),62031,S01011522,8637,12.98,66.44,53.16,927,1042,522,2213,1424,6605,0.17,185,68.76,1,7.3,68.04,49.59,69.7
Brunton Place Surgery - Edinburgh (70268),70268,S01008808,9487,49.92,77.72,81.15,3312,3212,3295,1013,4877,6964,0.09,105,81.58,1,20.36,86.49,51,73.9
Bruntsfield Medical Practice - Edinburgh (70323),70323,S01008637,12150,84.59,94.73,92.85,6747,6847,5272,1992,6661,6939,0.01,50,66.55,1,13.8,69.1,52.34,73.9
Buckingham Terrace Medical Practice - Glasgow (40012),40012,S01010375,9036,65.82,73.34,86.19,5362.5,5819,6513,59,6287,5294,0.03,30,85.99,1,21.47,83.82,46.17,69.8
Bucksburn Medical Practice - Bucksburn (30256),30256,S01006745,4979,56.85,86.94,72.08,2204,3413,2216,2677,1700,6222,0.08,100,62.93,1,5.23,68.97,50.65,71.8
Burnbank Medical Centre - Hamilton (63419),63419,S01012786,8091,48.53,78.23,80.85,64,108,45,1470,418,6935,0.29,260,72.7,1,10.84,66.91,50.98,76.9
Burnbrae Medical Practice - Shotts (62986),62986,S01011431,9148,27.37,44,63.34,1862,2247,1375,2128,1459,6905,0.12,165,61.6,1,1.41,66.21,51.2,69.7
Burnfield Medical Practice - Inverness (55889),55889,S01010613,6903,90.8,89.29,93.78,1994,2644,1936,3546,1910,5413,0.1,130,57.01,1,5.16,68.35,51.73,78.6
Burntisland Medical Group - Fife (20151),20151,S01009459,5298,65.75,82.95,88.03,1707,1354,1881,3198,2565,6346,0.15,115,62.93,1,3.58,63.25,51.55,70.4
Butterbiggins Medical Centre - Glasgow (49267),49267,S01010033,5116,49.2,79.36,88.11,704,476,852,96,975,6267,0.22,190,69.71,1,37.05,73.48,48.4,69.8
Bydand Medical Group - Huntly (32092),32092,S01007010,7780,60.23,97.89,84.26,5158,5641,4808,5837,6148,6261,0.03,50,50.45,0,2.2,60.36,50.81,79.5
Cairn Medical Practice - Inverness (56006),56006,S01010626,9673,75.19,72.13,89.17,4748,2793,4576,5438,5102,4714,0.1,75,52.77,1,4.19,63.58,51.5,78.6
Cairn Valley Medical Practice - Dunscore (18343),18343,S01007564,3950,79.57,96.87,91.4,3988,4928,4283,4496,4718,145,0.04,75,60.36,0,1.17,59.29,50.48,68.3
Cairnsmore Medical Practice - Newton Stewart (18151),18151,S01007518,3899,79.5,88.28,93.87,1963,2311,2468,3506.5,3228,6655,0.11,140,58.5,0,1.8,57.89,51.32,68.3
Calder Valley Surgery - Wishaw (63902),63902,S01011401,2081,71.54,92.87,80.53,2364,2242,2251,4322,3098,6555,0.12,130,63.23,1,1.85,68.86,53.24,69.7
Calderglen Medical Practice - East Kilbride (63298),63298,S01012928,5936,48.46,91.89,71.99,4917,5297,4686,4546,4798,3153,0.04,60,61.49,1,3.58,66.14,49.97,76.9
Calderlea Surgery - East Kilbride (63508),63508,S01012922,5846,70.61,85.72,82.27,4382,3701,3798,4108,5164,3877,0.07,85,67.25,1,1.68,64.03,52.77,76.9
Calderside Medical Practice - Blantyre (63033),63033,S01012760,7071,58,81.96,79.08,671,690,963,1292,959,6315,0.2,165,61.22,1,2.88,65.59,52.16,76.9
Caledonia Medical Practice - Cumbernauld (61339),61339,S01011745,10871,41,87.65,76.24,1779,2510,737,2521,1512,3847,0.11,175,52.46,1,4.36,64.53,51.17,69.7
Callander Medical Practice - Callander (25121),25121,S01013112,4560,64.65,53.18,87.55,3259,3640,4595,5439,5320,6259,0.07,95,64.91,1,2.15,60.46,49.96,74.8
Calsayseat Medical Group - Aberdeen (30701),30701,S01006651,12690,62.72,91.88,79.83,3031,2813,3335,188,536,6545,0.1,90,79.17,1,29.61,73.7,48.91,71.8
"Calton Medical Practice - Bridgeton Health Centre, Glasgow (46611)",46611,S01010055,2036,54.71,87.99,79.31,195,69,10,215,416,5869,0.31,250,69.65,1,9.06,70.87,44.94,69.8
Camelon Medical Practice - Falkirk (25313),25313,S01009162,8170,75.78,83.25,89.5,1139,762.5,576,2293,1737,6444,0.19,195,72.96,1,4.09,66.43,50.47,75.2
Campbeltown Medical Practice - Campbeltown (84030),84030,S01007339,6090,84.34,93.45,89.83,3856,3365,4374,5574,3939,4778,0.08,85,50,0,1.77,59.79,50.21,75.8
Canisbay & Castletown Joint Medical Practice - Castletown (55080),55080,S01010792,2900,89.79,92.56,89.59,1761,1456,2024,3123,2002,4355,0.15,115,62.69,0,1.77,59.03,49.28,78.6
Canonbie Surgery - Canonbie (18432),18432,S01007650,2169,88.62,93.92,91.41,3727,4263,6566,4605,4703,900,0.06,60,59.93,0,2.72,60.4,49.88,68.3
Carbost Medical Practice - Skye And Lochalsh (55521),55521,S01010675,644,96.88,96.65,97.28,5609.5,5540.5,5315,4389,4852,152,0.03,55,62.78,0,2.55,60.09,48.14,78.6
Carmondean Medical Group - Livingston (78010),78010,S01013350,9629,82.04,94.14,90.28,1584,1947,1437,2431,1341,6686,0.13,155,66.62,1,6.34,68.27,50.02,74.5
Carnoustie Medical Group - Carnoustie (10638),10638,S01007160,13103,57.57,95.16,82.75,2733,2280,2948,2259,2174,2537,0.11,115,58.58,1,2.18,60.01,51.48,72.2
Carntyne Medical Centre - Glasgow (46146),46146,S01010247,4358,63.61,92.5,81.09,1305,1902,926,628,3148,3668,0.13,170,63.01,1,7.14,68.61,50.14,69.8
Carolside Medical Centre - Glasgow (49623),49623,S01008377,7876,81.94,84.54,93.25,6096,6471,6537,6390,6909,6867,0.02,45,64.8,1,6.7,63.76,51.69,73.6
Carrick Medical Practice - Maybole (80467),80467,S01012439,3482,75.28,86.44,89.44,1829,1830,1518,2971,3390,6449,0.13,105,54.27,1,2.77,63.76,47.82,71.9
Carron Medical Centre - Falkirk (25652),25652,S01009135,4079,64.27,89.91,81.45,4750.5,3925,4958,4893,5537,5298,0.07,65,81.02,1,5.84,70.75,49.4,75.2
Carronbank Medical Practice - Denny (25188),25188,S01009058,10438,75.97,82.23,86.23,1864,1765,1300,4555,2989,6424,0.14,155,62.72,1,5.6,66.04,50.62,75.2
Castle Douglas Medical Group - Castle Douglas (18184),18184,S01007538,6697,73.75,77.86,84.38,4315,5397,4854,5852,4710,818,0.04,60,59.94,0,2.24,59.4,51.11,68.3
Castlegait Surgery - Montrose (13660),13660,S01007211,4730,72.85,85.78,92.81,1420,1212,1758,1661,1623,5675,0.16,155,64.59,1,4.76,64.16,50.15,72.2
Castlemilk Group Practice - Glasgow (49751),49751,S01009980,10274,37.95,83.95,76.73,35,94,7,699,538,5959,0.3,305,61.84,1,2.64,68.77,50.1,69.8
Centenary Surgery - Coatbridge (61216),61216,S01011573,2137,74.26,70.61,84.31,3355,3395,1964,2387,3992,2648,0.08,135,67.46,1,2.77,68.79,51.29,69.7
Central Avenue Surgery - Ardrossan (80010),80010,S01011253,4149,64.91,80.86,86.69,667,777,303,1348,1266,5062,0.19,200,63.5,1,1.99,63.05,51.84,67.7
Central Buchan Medical Practice - New Pitsligo (31531),31531,S01007049,6471,53.69,79.71,82.68,2256,2356,3316,3925,1884,4452,0.11,105,59.5,0,3.49,61.57,49.78,79.5
Charlestown Surgery - Fife (21308),21308,S01009288,2823,77.04,82.03,89.77,5367,6435,6173,6077,4694,683,0.02,35,58.28,0,3.14,62.59,51.47,70.4
Charlotte Medical Practice - Dumfries (18305),18305,S01007585,9495,74.55,89.06,93.51,4274,3582,3452,4638,5324,4368,0.07,90,53.48,1,2.98,63.21,50.67,68.3
Church Street Practice - Coatbridge (61485),61485,S01011601,6144,65.82,81.69,86.72,5703.5,5548.5,4191,3727,4062,4519,0.03,75,71.43,1,5.07,66.7,49.33,69.7
