_id,PracticeCode,GPPracticeName,PracticeListSize,AddressLine1,AddressLine2,AddressLine3,AddressLine4,Postcode,TelephoneNumber,PracticeType,Dispensing,HB,HSCP,DataZone,GPCluster
47,13481,St Serf's Practice,9920,St Serf's Practice,Loch Leven Health Centre,Muirs,Kinross,KY13 8FP,01577   862   112,17J,N,S08000030,S37000033,S01011834,Kinross/Errol/Bridge of Earn
48,13496,Orwell Practice,4063,Orwell Practice,Loch Leven Health Centre,Muirs,Kinross,KY13 8FP,01577   862   112,17J,N,S08000030,S37000033,S01011834,Kinross/Errol/Bridge of Earn
49,13532,Kirriemuir Medical Practice,8776,Kirriemuir Medical Practice,Tannage Brae,Kirriemuir,Angus,DD8 4ES,01575   573   333,17J,N,S08000030,S37000003,S01007273,North West Angus
50,13571,Monifieth Medical Practice,10938,Monifieth Health Centre,Victoria Street,Monifieth,"",DD5 4LX,01382   534   301,17J,N,S08000030,S37000003,S01007150,Angus South West
51,13621,Townhead Practice,6836,Townhead Practice,Links Health Centre,Frank Wood Way,Montrose,DD10 8TY,01674   676   161,17J,N,S08000030,S37000003,S01007211,North East/Angus
52,13660,Castlegait Surgery,4730,Castlegait Surgery,Links Health Centre,Frank Wood Way,Montrose,DD10 8TY,01674   672   554,17J,N,S08000030,S37000003,S01007211,North East/Angus
53,13706,Annat Bank Practice,5894,Annat Bank Practice,Links Health Centre,Frank Wood Way,Montrose,DD10 8TY,01674   673   400,17J,N,S08000030,S37000003,S01007211,North East/Angus
54,13848,Kings Practice,6558,Kings Practice,Glover Street Medical Centre,133 Glover Street,Perth,PH2 0JB,01738   621   844,17J,N,S08000030,S37000033,S01011893,Perth City Cluster
55,13891,"Green Practice, Whitefriars Surgery",9187,"Green Practice, Whitefriars Surgery",Whitefriars Street,Perth,"",PH1 1PP,01738   627   912,17J,N,S08000030,S37000033,S01011893,Perth City Cluster
56,13941,Victoria Practice,10880,Victoria Practice,Glover Street Medical Centre,133 Glover Street,Perth,PH2 0JB,01738   639   748,17J,N,S08000030,S37000033,S01011893,Perth City Cluster
57,13975,The Lade Medical Practice,3727,North Methven Street,PERTH,"","",PH1 5PD,01738   622   421,17J,N,S08000030,S37000033,S01011937,Perth City Cluster
58,14037,The Taymount Surgery,15785,The Taymount Surgery,1 Taymount Terrace,Perth,"",PH1 1NU,01738   627   117,17J,N,S08000030,S37000033,S01011898,Perth City Cluster
59,14249,"Red Practice, Whitefriars Surgery",6999,"Red Practice, Whitefriars Surgery",Whitefriars Street,Perth,"",PH1 1PP,01738   625   842,17J,N,S08000030,S37000033,S01011893,Perth City Cluster
60,14291,Perth City Medical Centre,9377,Perth City Medical Centre,Caledonian Road,Perth,"",PH2 8HH,01738   628   234,17J,N,S08000030,S37000033,S01011943,Perth City Cluster
61,14342,"Yellow Practice, Drumhar Health Centre",6389,"Yellow Practice, Drumhar Health Centre",North Methven Street,Perth,"",PH1 5PD,01738   621   726,17J,N,S08000030,S37000033,S01011937,Perth City Cluster
62,14501,Atholl Medical Centre,4915,Atholl Medical Centre,Ferry Road,Pitlochry,Perthshire,PH16 5FG,01796   472   558,17J,N,S08000030,S37000033,S01012010,North West Perthshire
63,14569,Stanley Medical Centre,4250,Stanley Medical Centre,43 Shielhill Place,Stanley,Perthshire,PH1 4NN,01738   828   294,17J,N,S08000030,S37000033,S01011996,North West Perthshire
64,16013,Roxburgh Street Surgery,3617,Roxburgh Street Surgery,10 Roxburgh Street,Galashiels,"",TD1 1PF,01896   752   557,17J,N,S08000016,S37000025,S01012275,Borders central
65,16032,Jedburgh Medical Practice,6928,Jedburgh Medical Practice,The Health Centre,Queen Street,Jedburgh,TD8 6EN,01835   863   361,17J,N,S08000016,S37000025,S01012352,Borders east
66,16047,Newcastleton Medical Practice,1579,Newcastleton Medical Practice,Moss Road,Newcastleton,"",TD9 0RU,01387   375   100,17J,Y,S08000016,S37000025,S01012354,Borders south
67,16051,Eildon Surgery,6963,Eildon Surgery,Auction Market,Newtown St Boswells,"",TD6 0PP,01835   822   777,17J,N,S08000016,S37000025,S01012344,Borders central
68,16066,Merse Medical Practice,6669,Merse Medical Practice,South Crofts,Chirnside,"",TD11 3XP,01890   818   253,17J,N,S08000016,S37000025,S01012320,Borders east
69,16085,Selkirk Medical Practice,7365,Selkirk Medical Practice,The Health Centre,Viewfield Lane,Selkirk,TD7 4LJ,01750   216   74,17J,N,S08000016,S37000025,S01012384,Borders south
70,16121,St Ronan's Practice,4743,St Ronan's Practice,St Ronan's Health Centre,Innerleithen,"",EH44 6QE,01896   830   203,17J,N,S08000016,S37000025,S01012266,Borders West
71,16136,Kelso Medical Group,11852,Kelso Medical Group,Kelso Health Centre,Inch Road,Kelso,TD5 7LF,01573   224   424,17J,N,S08000016,S37000025,S01012337,Borders east
72,16141,O'Connell Street Medical Practice,6080,O'Connell Street Medical Practice,O'Connell Street Medical Centre,O'Connell Street,Hawick,TD9 9HU,01450   372   276,17J,N,S08000016,S37000025,S01012363,Borders south
73,16160,The Neidpath Practice,5922,The Neidpath Practice,Hay Lodge Health Centre,Neidpath Road,Peebles,EH45 8JG,01721   720   380,17J,N,S08000016,S37000025,S01012253,Borders West
74,16174,West Linton Medical Practice,3953,West Linton Medical Practice,The Health Centre,Deanfoot Road,West Linton,EH46 7EX,01968   660   808,17J,N,S08000016,S37000025,S01012246,Borders West
75,16193,The Ellwyn Practice,2988,The Ellwyn Practice,The Health Centre,Currie Road,Galashiels,TD1 2UA,01896   661   355,17J,N,S08000016,S37000025,S01012285,Borders central
76,16206,Coldstream Medical Practice,3865,Coldstream Medical Practice,The Health Centre,Kelso Road,Coldstream,TD12 4LQ,01890   882   711,17J,N,S08000016,S37000025,S01012324,Borders east
77,16211,The Tweed Practice,6004,The Tweed Practice,Hay Lodge Health Centre,Neidpath Road,Peebles,EH45 8JG,01721   720   601,17J,N,S08000016,S37000025,S01012253,Borders West
78,16230,Braeside Medical Practice,4927,Braeside Medical Practice,The Health Centre,Currie Road,Galashiels,TD1 2UA,01896   661   360,17J,N,S08000016,S37000025,S01012285,Borders central
79,16244,Glenfield Medical Practice,1991,Glenfield Medical Practice,The Health Centre,Currie Road,Galashiels,TD1 2UA,01896   661   363,17J,N,S08000016,S37000025,S01012285,Borders central
80,16259,Waverley Medical Practice,5006,Waverley Medical Practice,The Health Centre,Currie Road,Galashiels,TD1 2UA,01896   661   350,17J,N,S08000016,S37000025,S01012285,Borders central
81,16282,Duns Medical Group,3174,Duns Medical Group,The Knoll,Station Road,Duns,TD11 3EL,01361   885   040,17J,N,S08000016,S37000025,S01012305,Borders east
82,16475,Greenlaw Surgery,1402,Greenlaw Surgery,Duns Road,Greenlaw,Berwickshire,TD10 6XJ,01361   885   161,17J,N,S08000016,S37000025,S01012300,Borders east
83,16507,Eyemouth Medical Practice,6570,Eyemouth Medical Practice,The Health Centre,Houndlaw Park,Eyemouth,TD14 5DD,01890   750   383,17J,N,S08000016,S37000025,S01012316,Borders east
84,16545,Teviot Medical Practice,11288,Teviot Medical Practice,Teviot Road,Hawick,"",TD9 9DT,01450   370   999,17C,N,S08000016,S37000025,S01012366,Borders south
85,16550,Stow & Lauder Health,4706,Stow & Lauder Health,Stow Health Centre,Station Road,Stow,TD1 2SQ,01896   661   440,17J,Y,S08000016,S37000025,S01012272,Borders central
86,16564,Earlston Medical Practice,3260,Earlston Medical Practice,Earlston Health Centre,Kidgate,Earlston,TD4 6DW,01896   848   333,17J,N,S08000016,S37000025,S01012269,Borders central
87,18057,Lochinch Practice,2963,Lochinch Practice,Waverley Medical Centre,Dalrymple Street,Stranraer,DG9 7DW,01776   743   935,17C,N,S08000017,S37000006,S01007492,Wigtownshire
88,18095,Loch Ree Practice,4849,Loch Ree Practice,Waverley Medical Centre,Dalrymple Street,Stranraer,DG9 7DW,01776   743   932,2C,N,S08000017,S37000006,S01007492,Wigtownshire
89,18112,Mull of Galloway Practice,721,Mull of Galloway Practice,Drummore,Stranraer,"",DG9 9QQ,01776   840   205,17J,Y,S08000017,S37000006,S01007501,Wigtownshire
90,18151,Cairnsmore Medical Practice,3899,Cairnsmore Medical Practice,Health Centre,Creebridge,Newton Stewart,DG8 6NR,01671   403   609,17J,Y,S08000017,S37000006,S01007518,Wigtownshire
91,18184,Castle Douglas Medical Group,6697,Castle Douglas Medical Group,Garden Hill Primary Care Centre,2 Garden Hill Road,Castle Douglas,DG7 3EE,01556   505   900,17J,N,S08000017,S37000006,S01007538,Stewartry
92,18199,Solway Medical Group,6446,Solway Medical Group,Health Centre,Kirkcudbright,"",DG6 4BJ,01557   330   755,17J,Y,S08000017,S37000006,S01007527,Stewartry
93,18216,"Drs Oliver, Greeley &Innes",3956,"Drs Oliver, Greeley & Innes",Garden Hill Primary Care Centre,2 Garden Hill Road,Castle Douglas,DG7 3EE,01556   502   050,17J,N,S08000017,S37000006,S01007538,Stewartry
94,18235,Glenkens Medical Practice,1833,Glenkens Medical Practice,High Street,New Galloway,"",DG7 3RN,01644   420   234,17J,Y,S08000017,S37000006,S01007550,Stewartry
95,18240,Dalbeattie Medical Practice,4889,Dalbeattie Medical Practice,Craignair Health Centre,Port Road,Dalbeattie,DG5 4AZ,01556   610   331,17J,N,S08000017,S37000006,S01007543,Stewartry
96,18254,Shebburn Medical Practice,2795,Shebburn Medical Practice,Shebburn Surgery,New Abbey,"",DG2 8BY,01387   850   263,17J,Y,S08000017,S37000006,S01007595,Dumfries & Upper Nithsdale
97,18273,St Michaels Medical Centre,6624,St Michaels Medical Centre,St Michaels Bridge Road,Dumfries,"",DG1 2PX,01387   244   950,17J,N,S08000017,S37000006,S01007611,Dumfries & Upper Nithsdale
98,18288,Lochthorn Medical Centre,3757,Lochthorn Medical Centre,Edinburgh Road,Dumfries,"",DG1 1TR,01387   259   944,17J,N,S08000017,S37000006,S01007622,Dumfries & Upper Nithsdale
99,18305,Charlotte Medical Practice,9495,Charlotte Medical Practice,Lochfield Road Primary Care Centre,12-28 Lochfield Road,Dumfries,DG2 9BH,01387   267   626,17J,N,S08000017,S37000006,S01007585,Dumfries & Upper Nithsdale
100,18310,Gillbrae Medical Practice,13400,Gillbrae Medical Practice,Gillbrae Road,Dumfries,"",DG1 4EJ,01387   246   282,17J,N,S08000017,S37000006,S01007609,Dumfries & Upper Nithsdale
101,18324,Upper Nithsdale Group Practice,4583,Upper Nithsdale Group Practice,Health Centre,Station Road,Sanquhar,DG4 6BT,01659   502   21,17J,N,S08000017,S37000006,S01007555,Dumfries & Upper Nithsdale
102,18339,Thornhill Medical Practice,3840,Thornhill Medical Practice,Health Centre,Thornhill,Dumfriesshire,DG3 5AA,01848   330   208,17J,N,S08000017,S37000006,S01007561,Dumfries & Upper Nithsdale
103,18343,Cairn Valley Medical Practice,3950,Cairn Valley Medical Practice,Dunscore Health Centre,Dunscore,Dumfries,DG2 0UJ,01387   820   266,17J,Y,S08000017,S37000006,S01007564,Dumfries & Upper Nithsdale
104,18358,Alba Medical Centre - Lockerbie,4578,Alba Medical Centre - Lockerbie,Lockerbie Health Centre,Victoria Gardens,Lockerbie,DG11 2BJ,01576   205   502,17J,N,S08000017,S37000006,S01007636,Annandale & Eskdale
105,18377,Lochmaben Medical Group,5760,Lochmaben Medical Group,42-44 High Street,Lochmaben,"",DG11 1NH,01387   810   215,17J,N,S08000017,S37000006,S01007632,Annandale & Eskdale
106,18396,Alba Medical Group - Moffat,5246,Alba Medical Group - Moffat,High Street,Moffat,"",DG10 9JP,01683   220   062,17J,Y,S08000017,S37000006,S01007642,Annandale & Eskdale
107,18409,Greencroft South Medical Group,6456,Greencroft Medical Centre (South),Greencroft Wynd,Annan,"",DG12 6GS,01461   202   244,17J,N,S08000017,S37000006,S01007661,Annandale & Eskdale
108,18413,Dr N G Kelly & Partners,7491,Dr N G Kelly & Partners,Greencroft Medical Centre (North),Greencroft Wynd,Annan,DG12 6GN,01461   202   745,17C,N,S08000017,S37000006,S01007661,Annandale & Eskdale
109,18428,Gretna Surgery,4887,Gretna Surgery,Central Avenue,Gretna,"",DG16 5NA,01461   338   317,17J,N,S08000017,S37000006,S01007678,Annandale & Eskdale
110,18432,Canonbie Surgery,2169,Canonbie Surgery,Bowholm,Canonbie,"",DG14 0UX,01387   371   313,17J,Y,S08000017,S37000006,S01007650,Annandale & Eskdale
111,18447,Langholm Medical Partnership,2834,Langholm Medical Partnership,Health Centre,Langholm,"",DG13 0JY,01387   383   100,17J,N,S08000017,S37000006,S01007647,Annandale & Eskdale
112,18451,Ecclefechan Surgery,2890,Ecclefechan Surgery,The Surgery,Ecclefechan,Lockerbie,DG11 3BT,01576   300   208,17J,Y,S08000017,S37000006,S01007654,Annandale & Eskdale
113,18560,Greyfriars Medical Centre,11959,Greyfriars Medical Centre,33-37 Castle Street,Dumfries,"",DG1 1DL,01387   257   752,17J,N,S08000017,S37000006,S01007612,Dumfries & Upper Nithsdale
114,18574,Sandhead Surgery,2436,Sandhead Surgery,Piggery Road,Sandhead,Wigtownshire,DG9 9DP,01776   830   262,17J,Y,S08000017,S37000006,S01007499,Wigtownshire
115,18589,Glenluce Surgery,2031,Glenluce Surgery,Four Winds,Glenluce,Wigtownshire,DG8 0PU,01581   300   315,17J,Y,S08000017,S37000006,S01007503,Wigtownshire
116,18593,Lochnaw Practice,4486,Lochnaw Practice,Waverley Medical Centre,Dalrymple Street,Stranraer,DG9 7DW,01776   743   930,2C,N,S08000017,S37000006,S01007492,Wigtownshire
117,18611,Southern Machars Practice,3159,Southern Machars Practice,3 St. John Street,Whithorn,"",DG8 8PS,01988   500   218,2C,Y,S08000017,S37000006,S01007511,Wigtownshire
118,18625,Galloway Hills Medical Practice,4521,Galloway Hills Medical Practice,Newton Stewart Health Centre,Creebridge,Newton Stewart,DG8 6NR,01671   402   168,17J,Y,S08000017,S37000006,S01007518,Wigtownshire
119,20004,Anstruther Medical Practice,6288,Skeith Health Centre,"Crail Road, Cellardyke",Anstruther,Fife,KY10 3FF,01333   310   352,17J,N,S08000029,S37000032,S01009708,North East Fife
120,20057,Auchtermuchty Practice,5658,Auchtermuchty Practice,Auchtermuchty Health Centre,12 Carswell Wynd,Auchtermuchty,KY14 7AW,01337   828   262,17J,Y,S08000029,S37000032,S01009673,North East Fife
121,20108,Muiredge Surgery,8022,Muiredge Surgery,Merlin Crescent,Buckhaven,Fife,KY8 1HJ,01592   713   299,17J,N,S08000029,S37000032,S01009623,Levenmouth
122,20151,Burntisland Medical Group,5298,Burntisland Health Centre,74 Somerville Street,Burntisland,Fife,KY3 9DF,01592   872   761,17J,N,S08000029,S37000032,S01009459,Kirkcaldy
123,20184,The Links Practice,1897,The Links Practice,"The Health Centre, 74 Somerville Street",BURNTISLAND,Fife,KY3 9DF,01592   873   321,2C,N,S08000029,S37000032,S01009459,Kirkcaldy
124,20254,Wallsgreen Medical Practice,3011,Wallsgreen Medical Practice,The Health Centre,Wallsgreen Road,Cardenden,KY5 0JE,01592   722   440,17J,N,S08000029,S37000032,S01009440,Cowdenbeath
125,20305,Cowdenbeath Surgery,11403,Cowdenbeath Surgery,Cowdenbeath Medical Practice,173 Stenhouse Street,Cowdenbeath,KY4 9DH,01383   518   500,17J,N,S08000029,S37000032,S01009415,Cowdenbeath
126,20358,Crossgates Medical Practice,4280,Crossgates Medical Practice,94 Main Street,Crossgates,Fife,KY4 8DF,01383   511   398,17J,N,S08000029,S37000032,S01009406,Cowdenbeath
127,20409,Eden Villa Practice,7466,Eden Villa Practice,The Health Centre,Bank Street,Cupar,KY15 4JN,01334   651   223,17J,N,S08000029,S37000032,S01009687,North East Fife
128,20413,Bank Street Medical Group,7826,Bank Street Medical Group,The Health Centre,Bank Street,Cupar,KY15 4JN,01334   651   201,17J,N,S08000029,S37000032,S01009687,North East Fife
129,20451,Nethertown Surgery,11322,Nethertown Surgery,Elliot Street,Dunfermline,Fife,KY11 4TF,01383   623   516,17J,N,S08000029,S37000032,S01009312,Dunfermline
130,20466,New Park Medical Practice,12055,New Park Medical Practice,163 Robertson Road,Dunfermline,Fife,KY12 0BL,01383   629   200,17J,N,S08000029,S37000032,S01009325,Dunfermline
131,20471,Hospital Hill Surgery,8725,Hospital Hill Surgery,Izatt Avenue,Dunfermline,Fife,KY11 3BA,01383   731   721,17J,N,S08000029,S37000032,S01009360,Dunfermline
132,20485,Millhill Surgery,8628,Millhill Surgery,87 Woodmill Street,Dunfermline,Fife,KY11 4JW,01383   621   222,17J,N,S08000029,S37000032,S01009309,Dunfermline
133,20490,Bellyeoman Surgery,10775,Bellyeoman Surgery,Bellyeoman Road,Dunfermline,Fife,KY12 0AE,01383   721   266,17J,N,S08000029,S37000032,S01009303,Dunfermline
134,20502,Linburn Road Health Centre,8868,Linburn Road Health Centre,124 Nith Street,Dunfermline,Fife,KY11 4LT,01383   733   490,2C,N,S08000029,S37000032,S01009338,Dunfermline
135,20606,The Lomond Practice,10303,The Lomond Practice,Napier Road,Glenrothes,Fife,KY6 1HL,01592   765   039,17J,N,S08000029,S37000032,S01009562,Glenrothes
136,20611,North Glen Medical Practice,8324,North Glen Medical Practice,1 Huntsman'S Court,Glenrothes,Fife,KY7 6SX,01592   620   062,17C,N,S08000029,S37000032,S01009600,Glenrothes
137,20630,The Glenwood Practice,6184,The Glenwood Practice,Glenwood Health Centre,Napier Road,Glenrothes,KY6 1HL,01592   765   001,17J,N,S08000029,S37000032,S01009562,Glenrothes
138,20659,Cos Lane Surgery,9027,Cos Lane Surgery,Woodside Road,Glenrothes,Fife,KY7 4AQ,01592   752   100,17J,N,S08000029,S37000032,S01009584,Glenrothes
139,20663,Rothes Medical Practice,8759,Rothes Medical Practice,Pitteuchar Health Centre,Glamis Centre,Glenrothes,KY7 4RH,01592   771   177,17J,N,S08000029,S37000032,S01009586,Glenrothes
140,20729,Valleyfield Medical Practice,4094,Valleyfield Medical Practice,The Health Centre,Chapel Street,High Valleyfield,KY12 8SJ,01383   880   511,17J,N,S08000029,S37000032,S01009280,South West Fife
141,20752,Inverkeithing Medical Group,18109,Inverkeithing Medical Group,Inverkeithing Medical Centre,5 Friary Court,Inverkeithing,KY11 1NU,01383   413   234,17C,N,S08000029,S37000032,S01009389,South West Fife
142,20803,Kelty Medical Practice,7306,Kelty Medical Practice,Kelty Health Centre,80 Main Street,Kelty,KY4 0AE,01383   831   281,17J,N,S08000029,S37000032,S01009424,Cowdenbeath
143,20856,Kennoway Medical Group,4184,Kennoway Medical Group,Jordan Lane,Kennoway,Fife,KY8 5JZ,01333   350   241,17J,N,S08000029,S37000032,S01009657,Levenmouth
144,20907,Kinghorn Medical Practice,3382,Kinghorn Medical Practice,Rossland Place,Kinghorn,Fife,KY3 9RT,01592   890   217,2C,N,S08000029,S37000032,S01009469,Kirkcaldy
145,20950,Nicol Street Surgery,6244,Nicol Street Surgery,48 Nicol Street,Kirkcaldy,Fife,KY1 1PH,01592   642   969,17J,N,S08000029,S37000032,S01009480,Kirkcaldy
146,20964,"Drs McKenna, Murphy & McCallum",7061,"Drs McKenna, Murphy & McCallum",Kirkcaldy Health Centre,Whyteman'S Brae,Kirkcaldy,KY1 2NA,01592   642   902,17J,N,S08000029,S37000032,S01009522,Kirkcaldy
